preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
evolutionary biology,"['Evolutionary_biology', 'evolutionary_biology', 'evolutionary_Biology', 'Evolutionary_Biology']","['disease', 'person function']",['Evolutionary_biology'],evolutionary biology,disease
evolutionary biology,"['Evolutionary_biology', 'evolutionary_biology', 'evolutionary_Biology', 'Evolutionary_Biology']","['disease', 'person function']",['Evolutionary_biology'],evolutionary biology,person function
conflict management,"['conflict_Management', 'Conflict_management', 'Conflict_Management', 'conflict_management']",['Election'],['Conflict_management'],conflict management,Election
tropical medicine,"['tropical_medicine', 'Tropical_medicine', 'tropical_Medicine', 'Tropical_Medicine']","['organisation', 'person function']",['Tropical_medicine'],tropical medicine,organisation
tropical medicine,"['tropical_medicine', 'Tropical_medicine', 'tropical_Medicine', 'Tropical_Medicine']","['organisation', 'person function']",['Tropical_medicine'],tropical medicine,person function
public health,"['Public_health', 'Public_Health', 'public_Health', 'public_health']","['person function', 'person function']","['Public_health', 'Public_Health']",public health,person function
public health,"['Public_health', 'Public_Health', 'public_Health', 'public_health']","['person function', 'person function']","['Public_health', 'Public_Health']",public health,person function
geriatrics,"['Geriatrics', 'geriatrics']","['medical specialty', 'Food']",['Geriatrics'],geriatrics,medical specialty
geriatrics,"['Geriatrics', 'geriatrics']","['medical specialty', 'Food']",['Geriatrics'],geriatrics,Food
human resource management,"['human_Resource_Management', 'Human_Resource_Management', 'Human_Resource_management', 'human_resource_Management', 'human_Resource_management', 'Human_resource_Management', 'Human_resource_management', 'human_resource_management']","['disease', 'university', 'university']","['Human_resource_management', 'Human_Resource_Management']",human resource management,disease
human resource management,"['human_Resource_Management', 'Human_Resource_Management', 'Human_Resource_management', 'human_resource_Management', 'human_Resource_management', 'Human_resource_Management', 'Human_resource_management', 'human_resource_management']","['disease', 'university', 'university']","['Human_resource_management', 'Human_Resource_Management']",human resource management,university
human resource management,"['human_Resource_Management', 'Human_Resource_Management', 'Human_Resource_management', 'human_resource_Management', 'human_Resource_management', 'Human_resource_Management', 'Human_resource_management', 'human_resource_management']","['disease', 'university', 'university']","['Human_resource_management', 'Human_Resource_Management']",human resource management,university
agronomy,"['Agronomy', 'agronomy']","['work', 'person function']",['Agronomy'],agronomy,work
agronomy,"['Agronomy', 'agronomy']","['work', 'person function']",['Agronomy'],agronomy,person function
otorhinolaryngology,"['Otorhinolaryngology', 'otorhinolaryngology']","['place', 'medical specialty', 'person function']",['Otorhinolaryngology'],otorhinolaryngology,place
otorhinolaryngology,"['Otorhinolaryngology', 'otorhinolaryngology']","['place', 'medical specialty', 'person function']",['Otorhinolaryngology'],otorhinolaryngology,medical specialty
otorhinolaryngology,"['Otorhinolaryngology', 'otorhinolaryngology']","['place', 'medical specialty', 'person function']",['Otorhinolaryngology'],otorhinolaryngology,person function
signal processing,"['signal_processing', 'Signal_processing', 'signal_Processing', 'Signal_Processing']","['company', 'music genre']",['Signal_processing'],signal processing,company
signal processing,"['signal_processing', 'Signal_processing', 'signal_Processing', 'Signal_Processing']","['company', 'music genre']",['Signal_processing'],signal processing,music genre
analytical chemistry,"['analytical_chemistry', 'Analytical_Chemistry', 'analytical_Chemistry', 'Analytical_chemistry']",['book'],['Analytical_chemistry'],analytical chemistry,book
cold chain,"['cold_Chain', 'Cold_chain', 'cold_chain', 'Cold_Chain']",['company'],['Cold_chain'],cold chain,company
sporting events,"['sporting_Events', 'Sporting_events', 'sporting_events', 'Sporting_Events']",['music genre'],['Sporting_events'],sporting events,music genre
power engineering,"['power_engineering', 'Power_Engineering', 'Power_engineering', 'power_Engineering']",['disease'],['Power_engineering'],power engineering,disease
political parties,"['political_Parties', 'Political_Parties', 'political_parties', 'Political_parties']","['work', 'book', 'written work']",['Political_Parties'],political parties,work
political parties,"['political_Parties', 'Political_Parties', 'political_parties', 'Political_parties']","['work', 'book', 'written work']",['Political_Parties'],political parties,book
political parties,"['political_Parties', 'Political_Parties', 'political_parties', 'Political_parties']","['work', 'book', 'written work']",['Political_Parties'],political parties,written work
machine translation,"['machine_Translation', 'Machine_translation', 'Machine_Translation', 'machine_translation']",['music genre'],['Machine_translation'],machine translation,music genre
health care system,"['Health_care_System', 'health_Care_system', 'health_care_system', 'Health_Care_System', 'Health_Care_system', 'Health_care_system', 'health_Care_System', 'health_care_System']",['music genre'],['Health_Care_System'],health care system,music genre
public law,"['public_Law', 'Public_Law', 'Public_law', 'public_law']",['university'],['Public_law'],public law,university
pharmacokinetics,"['pharmacokinetics', 'Pharmacokinetics']",['organisation'],['Pharmacokinetics'],pharmacokinetics,organisation
Christianity,"['Christianity', 'christianity']","['ethnic group', 'music genre']",['Christianity'],christianity,ethnic group
Christianity,"['Christianity', 'christianity']","['ethnic group', 'music genre']",['Christianity'],christianity,music genre
photonics,"['Photonics', 'photonics']",['work'],['Photonics'],photonics,work
cervical screening,"['Cervical_screening', 'Cervical_Screening', 'cervical_Screening', 'cervical_screening']",['Election'],['Cervical_screening'],cervical screening,Election
audiology,"['Audiology', 'audiology']",['organisation'],['Audiology'],audiology,organisation
